Tests bloquedos con '#', desbloquee el cual desee evaluar.
Prueba en SeisCuartos con un agente aleatorio.


Simulación de entorno tipo <class '__main__.SeisCuartos'> con el agente tipo <class '__main__.AgenteAleatorio_SeisCuartos'>

   Paso                    Estado                           Acción            Desempeño   
__________________________________________________________________________________________
    14    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    15    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    16    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    17    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    18    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    19    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    20    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    21    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    22    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    23    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    24    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    25    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    26    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    27    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    28    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    29    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    30    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    31    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    32    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    33    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    34    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    35    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    36    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    37    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    38    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    39    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    40    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    41    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    42    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    43    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    44    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    45    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    46    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    47    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    48    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
    49    ['D', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio', 'limpio']           nada                   -24
